Colonel Kurtz,DS,Building a REST API for waging a secret war
Bridget Jones,DS,Creating an app for reading self-help books
Colonel Sanders,CSDS,Building a service to help deep-frying chicken
Conchita Wurst,CS,Creating a web interface for singing pop songs
Mickey Rourke,CSDS,Creating a web interface for getting plastic surgery
Charles Dickens,CSDS,Building a service to help writing serialized stories
Jackson Pollock,CS,Building a REST API for dripping paint onto canvas
Jack Kerouac,CSDS,Creating an app for driving around America
Colonel Sanders,CS,Creating a web interface for selling fried chicken
Jack Kerouac,CS,Building a service to help driving around America
Wilbur Wright,CS,Creating an app for testing new technologies
Conchita Wurst,CS,Building a REST API for singing pop songs
Sappho,CS,Creating an app for writing poetry
Colonel Kurtz,DS,Building a service to help instilling fear in the enemy
Jack Kerouac,CS,Building a REST API for writing beat fiction
Kevin Spacey,CS,Building a service to help starring in Hollywood movies
Wilbur Wright,CS,Creating a web interface for testing new technologies
The Artful Dodger,DS,Creating a web interface for picking pockets
Mickey Rourke,CSDS,Creating an app for getting plastic surgery
Bridget Jones,DS,Creating an app for counting calories
Kevin Spacey,CS,Building a REST API for starring in Hollywood movies
The Artful Dodger,DS,Building a REST API for picking pockets
Colonel Sanders,CS,Creating an app for deep-frying chicken
Jackson Pollock,CS,Building a REST API for painting abstract paintings
The Joker,DS,Building a service to help causing mayhem
Colonel Sanders,CS,Creating a web interface for deep-frying chicken
Jackson Pollock,CSDS,Building a service to help dripping paint onto canvas
Kevin Spacey,CSDS,Creating an app for starring in Hollywood movies
Jerry Seinfeld,CS,Building a REST API for starring in sit-coms
Wilbur Wright,CS,Building a service to help promoting new technologies
Colonel Kurtz,DS,Building a service to help waging a secret war
Jack Kerouac,CS,Creating a web interface for driving around America
Mickey Rourke,CS,Building a service to help getting plastic surgery
Sappho,CS,Building a REST API for writing poetry
Sappho,CSDS,Building a service to help writing poetry
Jack Kerouac,CS,Building a REST API for driving around America
Mickey Rourke,CSDS,Building a REST API for getting plastic surgery
Kevin Spacey,CS,Creating a web interface for starring in Hollywood movies
Conchita Wurst,CS,Building a service to help singing pop songs
Charles Dickens,CS,Building a REST API for writing about social problems
Colonel Kurtz,DS,Creating an app for waging a secret war
The Joker,DS,Building a REST API for laughing maniacally
The Artful Dodger,DS,Creating an app for picking pockets
Jerry Seinfeld,CSDS,Building a REST API for doing stand-up
Conchita Wurst,CS,Creating a web interface for cross-dressing in women's clothes
