73545665,Michel,Owen,CS,"Creating an app for waxing a surfboard,Building a REST API for spreading revolution,Creating an app for studying science,Creating an app for making fantasy movies,Creating a web interface for insulting minorities,Building a REST API for making bizarre movies,,Building a service to help eating exotic foods,Building a REST API for robbing banks,Creating a web interface for drawing political cartoons,Building a REST API for promoting racial harmony"
45947585,Nigel,Mooney,CS,"Creating an app for spreading revolution,Creating an app for spreading revolution,Building a REST API for making subversive art,Creating a web interface for throwing fund-raisers for Parkinson's disease,Building a REST API for running pyramid schemes,Building a REST API for spreading revolution,Building a service to help building giant walls,Building a REST API for spreading revolution,Creating a web interface for writing on wax tablets,Building a service to help betraying friends"
69260790,Davis,Kemp,CS,"Building a service to help moaning about life,Creating an app for bridging cultures ,Creating an app for exploring foreign countries,Building a REST API for making bizarre movies,,Building a REST API for writing rock songs,Building a REST API for making subversive art,Building a REST API for writing rock songs,Creating an app for waxing a surfboard,Building a service to help racking up marriages,Building a REST API for spreading revolution"
29689013,Micheal,Freeman,CS,"Creating an app for building giant walls,Building a service to help writing romantic poetry,Building a REST API for writing pop songs,Creating a web interface for hosting automotive shows,Creating a web interface for drawing political cartoons,Creating an app for bridging cultures ,Building a service to help making vulgar jokes,Creating a web interface for throwing fund-raisers for Parkinson's disease,Creating a web interface for bridging cultures ,Building a REST API for defending the weak"
41492157,Roxanne,Drake,DS,"Creating a web interface for manipulating political pawns,Building a REST API for making escape plans,Building a service to help singing bawdy songs,Building a REST API for drawing political cartoons,Creating a web interface for manipulating political pawns,Building a service to help running a criminal enterprise,Creating a web interface for coining sententious maxims,Creating an app for worrying about life,Creating an app for exploring foreign countries,Building a REST API for womanizing"
79799768,Jon,Henry,CS,"Building a REST API for making bizarre movies,,Building a service to help leading revolts,Building a service to help eating exotic foods,Building a REST API for running pyramid schemes,Building a service to help leading revolts,Creating an app for writing crime stories,Building a service to help betraying friends,Creating an app for making fantasy movies,Building a REST API for defending the weak,Creating an app for making fantasy movies"
77615661,Franklin,Mccormick,DS,"Building a service to help running a criminal enterprise,Creating an app for writing rock songs,Building a REST API for spreading revolution,Building a REST API for womanizing,Creating an app for worrying about life,Building a REST API for spreading revolution,Creating a web interface for ranting about conservatives,Building a service to help racking up marriages,Building a REST API for promoting wickedness,Creating an app for worrying about life"
30781030,Walton,Stout,CS,"Building a service to help eating exotic foods,Building a service to help producing Hipbop records,Building a service to help making vulgar jokes,Creating an app for waxing a surfboard,Building a service to help promoting conservative values,Building a service to help leading revolts,Building a REST API for drawing whimsical cartoons,Building a REST API for defending the weak,Creating an app for campaigning for social causes,Creating an app for promoting racial harmony"
17461136,Ivy,Becker,CS,"Building a service to help singing pop songs,Building a REST API for making bizarre movies,,Creating an app for making billions,Building a REST API for running pyramid schemes,Building a REST API for making subversive art,Building a service to help seducing women,Creating a web interface for getting plastic surgery,Creating an app for teaching philosophy,Creating an app for bridging cultures ,Building a REST API for designing clothes"
89658138,Cleo,Robles,CS,"Building a service to help eating exotic foods,Building a REST API for spreading revolution,Creating an app for  fighting for democracy,Creating a web interface for insulting minorities,Creating a web interface for singing jazz songs,Building a service to help managing hedge funds,Building a REST API for writing rock songs,Building a REST API for promoting racial harmony,Building a REST API for writing pop songs,Creating an app for studying science"
