78345529,Michel Owen,3.1,DS,"Creating an app for writing pop songs,Creating a web interface for chasing criminals,Creating an app for writing pop songs,Creating an app for casting magic spells,Creating an app for selling cosmetics,Creating an app for cooking British food,Creating an app for performing magic tricks,Creating an app for preparing for the apocalypse,Creating an app for preparing for the apocalypse,Creating an app for rooting out facts"
43154425,Nigel Mooney,2.6,CS,"Creating an app for ordering wire-taps,Building a REST API for wielding political power,Creating a web interface for singing torch songs,Building a service to help promoting Kaballah,Building a REST API for ranting about liberals,Building a REST API for wielding political power,Creating an app for writing modern fiction,Building a service to help chasing starlets,Building a REST API for leading an exodus,Creating an app for promoting conservative values"
59287235,Davis Kemp,0.6,CS,"Building a service to help teaching philosophy,Creating an app for running races,Building a REST API for judging legal cases,Creating a web interface for playing aggressive chess,Creating an app for writing modern fiction,Building a REST API for singing torch songs,Creating an app for promoting conservative values,Creating a web interface for starring in Hollywood movies,Creating an app for running races,Creating an app for writing pop songs"
56724841,Micheal Freeman,0.6,CS,"Creating a web interface for starring in Hollywood movies,Creating a web interface for starring in Hollywood movies,Creating a web interface for starring in Hollywood movies,Building a REST API for singing torch songs,Building a service to help rooting out facts,Building a REST API for singing torch songs,Creating a web interface for writing pop songs,Creating an app for chasing starlets,Building a REST API for competing in the Olympics,Building a REST API for promoting conservative values"
52511351,Roxanne Drake,3.4,CS,"Creating a web interface for competing in the Olympics,Creating a web interface for competing in the Olympics,Building a service to help pedalling furiously,Building a service to help teaching philosophy,Building a service to help spreading philosophy,Creating an app for rooting out facts,Building a service to help teaching philosophy,Creating a web interface for starring in Hollywood movies,Creating a web interface for competing in the Olympics,Building a REST API for teaching the next generation"
75794597,Jon Henry,3.9,CS,"Building a REST API for judging legal cases,Building a service to help competing in the Olympics,Creating a web interface for teaching the next generation,Building a REST API for ranting about liberals,Creating an app for modeling clothes,Creating an app for judging legal cases,Creating an app for judging legal cases,Building a REST API for wielding political power,Building a service to help starring in Hollywood movies,Creating a web interface for competing in the Olympics"
25278732,Franklin Mccormick,3.2,DS,"Building a REST API for causing mayhem,Creating an app for writing pop songs,Building a REST API for wielding political power,Creating an app for rooting out facts,Creating an app for promoting liberal values,Creating an app for causing mayhem,Building a REST API for leading an exodus,Building a REST API for leading an exodus,Creating a web interface for chasing criminals,Creating a web interface for chasing criminals"
60890510,Walton Stout,2.1,CS,"Building a REST API for promoting conservative values,Building a service to help promoting Kaballah,Building a REST API for writing modern fiction,Building a REST API for teaching the next generation,Creating an app for rooting out facts,Creating an app for modeling clothes,Building a service to help writing pop songs,Building a REST API for judging legal cases,Creating an app for rooting out facts,Building a service to help teaching philosophy"
21658723,Ivy Becker,3.1,CS,"Building a service to help playing aggressive chess,Building a REST API for wielding political power,Building a REST API for judging legal cases,Building a REST API for singing torch songs,Creating an app for writing pop songs,Creating an app for running races,Building a service to help promoting Kaballah,Creating an app for promoting conservative values,Building a service to help starring in Hollywood movies,Building a service to help playing aggressive chess"
56232495,Cleo Robles,3.6,CS,"Building a REST API for writing modern fiction,Building a service to help pioneering new technologies,Creating an app for promoting conservative values,Building a REST API for competing in the Olympics,Creating an app for promoting conservative values,Building a REST API for writing modern fiction,Building a REST API for singing torch songs,Creating an app for pioneering new technologies,Building a service to help pedalling furiously,Building a REST API for ranting about liberals"
