Wyatt Earp,CS,Creating a web interface for preventing crime
Mr. Bean,DS,Building a service to help causing mayhem
Juliet Capulet,DS,Creating an app for watching the sun rise
John Dillinger,CSDS,Building a REST API for eluding the FBI
Jenna Maroney,DS,Building a service to help singing pop songs
Bob Dylan,CS,Creating an app for singing protest songs
Jamie Oliver,CS,Creating a web interface for running restaurants
Oscar Pistorius,CSDS,Building a REST API for running races
Frodo Baggins,DS,Creating a web interface for disposing of unwanted jewelry
Chris Rock,CS,Building a service to help cross-dressing in women's clothes
Ilya Kuryakin,DS,Creating a web interface for foiling the schemes of evil villains
Tina Fey,CSDS,Creating a web interface for writing comedy
Will Smith,CSDS,Creating an app for starring in Hollywood movies
Cinderella,DS,Building a service to help  climbing social ladders
Rick Sanchez,DS,Creating an app for pioneering new technologies
Albert Einstein,CS,Building a REST API for revolutionizing physics
Saint Peter,CS,Creating a web interface for promoting conservative values
Leroy Jethro Gibbs,DS,Building a REST API for solving mysteries
Saint Peter,CSDS,Building a REST API for promoting conservative values
George Orwell,CS,Building a REST API for warning about totalitarianism
Bobby Fischer,CS,Building a REST API for playing aggressive chess
Mickey Rourke,CS,Creating a web interface for getting plastic surgery
Adam Sandler,CS,Building a REST API for making dumb comedies
Hugh Grant,CSDS,Building a REST API for starring in romantic comedies
Hedda Hopper,CSDS,Creating an app for promoting conservative values
Angelina Jolie,CSDS,Creating a web interface for starring in Hollywood movies
Dominique Strauss-Kahn,CSDS,Building a service to help planning orgies
Wyatt Earp,CS,Building a REST API for arresting criminals
Jack Kerouac,CS,Creating an app for writing beat fiction
John Belushi,CSDS,Creating an app for starring in madcap comedies
Kellyanne Conway,CS,Creating a web interface for offering advice
Juliet Capulet,DS,Building a REST API for watching the sun rise
Barbra Streisand,CSDS,Creating an app for singing torch songs
Mr. Bean,DS,Creating a web interface for causing mayhem
Sarah Connor,DS,Creating an app for amassing weapons
Jean-Luc Picard,DS,Building a REST API for commanding a spaceship
Barbra Streisand,CS,Creating an app for over-acting
Martha Stewart,CSDS,Building a REST API for running a media empire
Joey Tribbiani,DS,Building a REST API for seducing women
Ilya Kuryakin,DS,Building a REST API for foiling the schemes of evil villains
Count Dracula,DS,Building a REST API for chasing virgins
John Dillinger,CS,Building a service to help robbing banks
Kellyanne Conway,CS,Creating an app for offering advice
Amy Schumer,CS,Building a service to help making vulgar jokes
Eliza Doolittle,DS,Building a REST API for handing out flowers
Martha Stewart,CS,Building a service to help cooking dinners
Sarah Connor,DS,Building a REST API for amassing weapons
John Wayne,CS,Creating an app for starring in war movies
Moe Szyslak,DS,Building a service to help serving beer
Dominique Strauss-Kahn,CS,Building a REST API for planning orgies
George W. Bush,CSDS,Creating an app for  launching foreign wars
Ed Wood,CSDS,Creating an app for directing science fiction movies
P. T. Barnum,CSDS,Building a REST API for promoting circus attractions
Angelina Jolie,CS,Building a REST API for starring in Hollywood movies
Ilya Kuryakin,DS,Building a service to help foiling the schemes of evil villains
﻿Daniel Day-Lewis,CS,Creating a web interface for winning Oscars
Helen Keller,CSDS,Creating an app for reading braille
Sarah Silverman,CSDS,Building a service to help doing stand-up
Dame Edna Everage,CS,Creating an app for moaning about men
Keith Richards,CS,Building a service to help playing rock music
Ed Wood,CS,Creating a web interface for directing science fiction movies
Emperor Constantine,CS,Creating a web interface for running an empire
Count Dracula,DS,Creating a web interface for sucking blood
Oscar Pistorius,CS,Creating a web interface for running races
Bart Simpson,DS,Building a service to help making prank calls
Count Dracula,DS,Creating an app for chasing virgins
Dr. Dre,CSDS,Building a service to help producing Hipbop records
Frasier Crane,DS,Building a REST API for analyzing the sub-conscious
Iggy Pop,CS,Building a service to help doing raunchy stage acts
Dr. Dre,CS,Creating an app for writing rap songs
Wyatt Earp,CS,Creating a web interface for running a frontier town
Mr. Bean,DS,Creating an app for causing mayhem
Thomas "Neo" Anderson,DS,Creating an app for bending spoons
Emperor Constantine,CS,Building a REST API for running an empire
Joey Tribbiani,DS,Building a REST API for starring in daytime soap operas
Liza Minnelli,CSDS,Creating a web interface for singing torch songs
Linus Torvalds,CS,Creating an app for promoting open-source software
Frasier Crane,DS,Building a REST API for offering advice
Mel Brooks,CS,Building a service to help writing funny movies
Pocahontas,CSDS,Building a service to help bridging cultures 
Freddy Krueger,DS,Creating an app for slashing victims
Bob Dylan,CSDS,Building a REST API for singing protest songs
John F. Kennedy,CS,Building a service to help chasing starlets
Iggy Pop,CSDS,Creating an app for doing raunchy stage acts
Doctor Stephen Strange,DS,Building a service to help performing magic tricks
Freddy Krueger,DS,Creating an app for killing teenagers
Bill Cosby,CS,Building a service to help telling affable jokes
Jamie Oliver,CSDS,Building a REST API for promoting healthy eating
John Wayne,CS,Building a REST API for walking like a man
Donald Trump,CS,Creating a web interface for building giant walls
Ming The Merciless,DS,Creating a web interface for terrorizing Earth
Victor Frankenstein,DS,Creating a web interface for creating monsters
Jon Stewart,CS,Creating an app for hosting a late night chat show
John Belushi,CSDS,Building a service to help starring in madcap comedies
Hedda Hopper,CSDS,Building a REST API for spreading political gossip
Lois Lane,DS,Building a REST API for reporting for The Daily Planet
Oscar Pistorius,CSDS,Creating an app for running races
Jean-Paul Sartre,CSDS,Creating a web interface for smoking Boyard cigarettes
John Belushi,CS,Creating a web interface for starring in madcap comedies
Albert Einstein,CS,Creating an app for revolutionizing physics
Bill Cosby,CSDS,Building a REST API for telling affable jokes
Jack Kerouac,CS,Building a service to help driving around America
Natasha Romanova,DS,Creating an app for spying for the enemy
Jamie Oliver,CS,Creating an app for cooking dinners
Nelson Mandela,CSDS,Building a REST API for promoting racial harmony
Jack Kerouac,CS,Building a service to help writing beat fiction
Professor Charles Xavier,DS,Creating an app for running a school for gifted teens
Charles Atlas,CS,Creating a web interface for working out
Will Smith,CS,Building a service to help starring in Hollywood movies
Martha Stewart,CSDS,Creating a web interface for running a media empire
Juliet Capulet,DS,Creating a web interface for watching the sun rise
Dominique Strauss-Kahn,CS,Creating a web interface for throwing sex parties
George Armstrong Custer,CS,Building a REST API for developing military strategies
Cinderella,DS,Building a REST API for  climbing social ladders
Joey Tribbiani,DS,Creating a web interface for starring in daytime soap operas
Mickey Rourke,CS,Building a service to help getting plastic surgery
Lois Lane,DS,Creating a web interface for reporting for The Daily Planet
Scipio Africanus,CS,Building a service to help winning battles
John Constantine,DS,Creating an app for practicing the Occult
Bart Simpson,DS,Creating an app for making prank calls
Cinderella,DS,Creating a web interface for  climbing social ladders
Jean-Paul Sartre,CS,Creating an app for popping amphetamines
Jean-Paul Sartre,CS,Building a service to help smoking Boyard cigarettes
Sarah Silverman,CS,Building a REST API for insulting minorities
Jean-Paul Sartre,CS,Creating an app for chain-smoking Gauloises Bleues
Moe Szyslak,DS,Creating an app for serving beer
Dr. Dre,CS,Building a REST API for singing Hipbop songs
Martha Stewart,CS,Building a REST API for writing cook books
Hedda Hopper,CS,Building a REST API for ranting about liberals
Spider-Man,DS,Creating a web interface for pursuing criminals
Chris Rock,CS,Building a REST API for cross-dressing in women's clothes
Rihanna,CS,Creating an app for writing pop songs
Humphrey Bogart,CS,Creating an app for playing tough guys
Jean-Paul Sartre,CSDS,Building a REST API for popping amphetamines
Winnie the Pooh,DS,Creating an app for cooking for friends
Oscar Pistorius,CSDS,Creating an app for competing in the Olympics
Albert Einstein,CS,Building a service to help revolutionizing physics
P. T. Barnum,CS,Creating an app for promoting circus attractions
﻿Daniel Day-Lewis,CS,Building a service to help winning Oscars
